"","term","gene","Genes_in_Pathway"
"1","Alanine and Aspartate Metabolism","GPT",32
"2","Alanine and Aspartate Metabolism","GPT2",32
"3","Alanine and Aspartate Metabolism","ACY3",32
"4","Alanine and Aspartate Metabolism","AGXT",32
"5","Alanine and Aspartate Metabolism","AGXT2",32
"6","Alanine and Aspartate Metabolism","AGXT2L1",32
"7","Alanine and Aspartate Metabolism","ASNS",32
"8","Alanine and Aspartate Metabolism","ASPA",32
"9","Alanine and Aspartate Metabolism","ASRGL1",32
"10","Alanine and Aspartate Metabolism","DDO",32
"11","Alanine and Aspartate Metabolism","GOT1",32
"12","Alanine and Aspartate Metabolism","GOT2",32
"13","Alanine and Aspartate Metabolism","SLC1A1",32
"14","Alanine and Aspartate Metabolism","SLC1A2",32
"15","Alanine and Aspartate Metabolism","SLC1A3",32
"16","Alanine and Aspartate Metabolism","SLC1A4",32
"17","Alanine and Aspartate Metabolism","SLC1A5",32
"18","Alanine and Aspartate Metabolism","SLC1A6",32
"19","Alanine and Aspartate Metabolism","SLC1A7",32
"20","Alanine and Aspartate Metabolism","SLC36A1",32
"21","Alanine and Aspartate Metabolism","SLC38A1",32
"22","Alanine and Aspartate Metabolism","SLC38A2",32
"23","Alanine and Aspartate Metabolism","SLC38A3",32
"24","Alanine and Aspartate Metabolism","SLC38A4",32
"25","Alanine and Aspartate Metabolism","SLC38A5",32
"26","Alanine and Aspartate Metabolism","SLC6A14",32
"27","Alanine and Aspartate Metabolism","SLC7A10",32
"28","Alanine and Aspartate Metabolism","SLC7A2",32
"29","Alanine and Aspartate Metabolism","SLC7A3",32
"30","Alanine and Aspartate Metabolism","SLC7A8",32
"31","Alanine and Aspartate Metabolism","SLC25A12",32
"32","Alanine and Aspartate Metabolism","SLC25A13",32
"33","Amino and Nucleotide Sugar Metabolism","AMDHD2",20
"34","Amino and Nucleotide Sugar Metabolism","CHIA",20
"35","Amino and Nucleotide Sugar Metabolism","CHIT1",20
"36","Amino and Nucleotide Sugar Metabolism","CMAS",20
"37","Amino and Nucleotide Sugar Metabolism","GALE",20
"38","Amino and Nucleotide Sugar Metabolism","GFPT1",20
"39","Amino and Nucleotide Sugar Metabolism","GFPT2",20
"40","Amino and Nucleotide Sugar Metabolism","GNE",20
"41","Amino and Nucleotide Sugar Metabolism","GNPDA1",20
"42","Amino and Nucleotide Sugar Metabolism","GNPDA2",20
"43","Amino and Nucleotide Sugar Metabolism","GNPNAT1",20
"44","Amino and Nucleotide Sugar Metabolism","MANSC1",20
"45","Amino and Nucleotide Sugar Metabolism","NAGK",20
"46","Amino and Nucleotide Sugar Metabolism","NANS",20
